audio_input,text,languages_detected,is_code_switching,utterance_id,user_id,timestamp,llm_response,llm_response_phoneme,tts_output_file,latency_llm_s,latency_tts_s,error,detected_languages
2222_audio1.wav,Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?,['id'],False,,,,,,,,,,
2222_audio10.wav,Apa perbedaan umroh dan hajj secara detail dalam Islam?,['id'],False,,,,,,,,,,
2222_audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,['id'],False,,,,,,,,,,
2222_audio14.wav,How to prepare dokumen umrah dari Indonesia dengan benar,['id'],False,,,,,,,,,,
2222_audio2.wav,Aku butuh travel umrah simple tapi include madinah visit.,['id'],False,,,,,,,,,,
2222_audio3.wav,Can you help aku arrange transport dari Judea ke Madinah tomorrow?,"['id', 'en']",True,,,,,,,,,,
2222_audio4.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False,,,,,,,,,,
2222_audio5.wav,Ya akhi uridu bukfaik ilajadah al-rasbu'al qadim hal bisa bantu ajidah aftal skedul warih latan mubasyirah,['id'],False,,,,,,,,,,
2222_audio6.wav,uridu arrange transport menjedah ila madinah wadan,[],False,,,,,,,,,,
2222_audio7.wav,Book flight ke Jeddah lalu lanjut ke Madinah. Schedule terbaik kapan?,['id'],False,,,,,,,,,,
2301_audio1.wav,"Aku mau book fly ke Jeddah minggu depan, bisa bantu schedule?",['id'],False,,,,,,,,,,
2301_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim?,['id'],False,,,,,,,,,,
2301_audio12.wav,Bagaimana proses visa Saudi untuk umroh dari Indonesia sekarang?,['id'],False,,,,,,,,,,
2301_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar,['id'],False,,,,,,,,,,
2301_audio15.wav,Tolong buat checklist persiapan umroh termasuk barang wajib dibawa.,[],False,,,,,,,,,,
2301_audio2.wav,"Aku butuh travel umrah simple, tapi include Madinah visit.",['id'],False,,,,,,,,,,
2301_audio3.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"['id', 'en']",True,,,,,,,,,,
2301_audio4.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False,,,,,,,,,,
2301_audio5.wav,"Ya akhi, uri du buk flight ila jidah al-usbu al-qadim. Hal bisa bantu ajidah afdal skajul warih latan mubashiroh?",['id'],False,,,,,,,,,,
2301_audio6.wav,Uridu Range Transport menjedah ila Madinah Kogadan,[],False,,,,,,,,,,
2302_audio01.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule.",['id'],False,,,,,,,,,,
2302_audio02.wav,"Aku butuh travel umroh simpel, tapi include Madinah visit.",['id'],False,,,,,,,,,,
2302_audio03.wav,Can you help? Aku arrange transport dari Jeddah ke Madinah tomorrow.,"['id', 'en']",True,,,,,,,,,,
2302_audio04.wav,Expand step by step cara apply visa Saudi dengan benar.,['id'],False,,,,,,,,,,
2302_audio05.wav,"Ya akhi, uridubu flight ilajidah al-usbu al-khadim hal bithabantu ajidah afdal skedul warih latan mubassiroh.",[],False,,,,,,,,,,
2302_audio06.wav,Uridu Range Transport Minjida ila Madinah Khadat.,[],False,,,,,,,,,,
2302_audio11.wav,Kenapa fasting di Ramadhan itu wajib bagi muslim?,['id'],False,,,,,,,,,,
2302_audio14.wav,How to prepare dokumen umroh dari Indonesia dengan benar?,['id'],False,,,,,,,,,,
2302_audio15.wav,Tolong buat ceklis persiapan umroh termasuk barang wajib di bawah.,['id'],False,,,,,,,,,,
2302_audio17.wav,"Menurut kamu, belajar bahasa Arab itu susah nggak untuk pemula?",['id'],False,,,,,,,,,,
2303_audio01.wav,Aku mau book flight ke Jeddah minggu depan bisa bantu schedule,['id'],False,,,,,,,,,,
2303_audio02.wav,aku butuh travel umrah simple tapi include madinah visit,['id'],False,,,,,,,,,,
2303_audio03.wav,can you help me arrange transport dari jeddah ke madinah tomorrow,"['id', 'en']",True,,,,,,,,,,
2303_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],False,,,,,,,,,,
2303_audio06.wav,uridu orange transport min jeddah ilah madinah hadan,[],False,,,,,,,,,,
2303_audio07.wav,buk flight ke jeddah lalu lanjut ke madinah schedule terbaik kapan,['id'],False,,,,,,,,,,
2303_audio13.wav,Jelaskan step by step cara booking flight ke Jeddah secara online.,['id'],False,,,,,,,,,,
2303_audio15.wav,Tolong buat checklist persiapan umrah termasuk barang wajib dibawah,[],False,,,,,,,,,,
2303_audio19.wav,"Ahyanan, saya bingung mulai dari mana untuk umrah.",['id'],False,,,,,,,,,,
2304_audio01.wav,Aku mau book flight ke jedah minggu depan. Bisa bantu schedule?,['id'],True,audio01,2304,2026-05-31T00:07:53.353740,Saya tidak dapat melakukan pemesanan tiket pesawat secara langsung. Anda dapat menggunakan aplikasi perjalanan atau situs resmi maskapai untuk mencari dan mengatur jadwal penerbangan tersebut.,Saya tidak dapat melakukan pemesanan tiket pesawat secara langsung. Anda dapat menggunakan aplikasi perjalanan atau situs resmi maskapai untuk mencari dan mengatur jadwal penerbangan tersebut.,tts_2304_audio01.wav,12.408,25.242,,"id, en"
2304_audio02.wav,"Aku butuh travel umroh simple, tapi include Madinah visit.",['id'],True,audio02,2304,2026-05-31T00:08:39.424179,"Anda dapat mencari paket umrah reguler yang sudah menyertakan jadwal kunjungan ke Madinah. Pastikan paket tersebut mencakup seluruh kebutuhan utama seperti visa, akomodasi di kedua kota, dan transportasi.","Anda dapat mencari paket umrah reguler yang sudah menyertakan jadwal kunjungan ke Madinah. Pastikan paket tersebut mencakup seluruh kebutuhan utama seperti visa, akomodasi di kedua kota, dan transportasi.",tts_2304_audio02.wav,17.758,3.759,,"id, en, ar"
2304_audio03.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?,"['id', 'en']",True,audio03,2304,2026-05-31T00:09:06.962840,"Saya tidak dapat melakukan pemesanan transportasi secara langsung. Anda dapat menggunakan kereta cepat Haramain, bus, atau layanan taksi untuk perjalanan tersebut.","Saya tidak dapat melakukan pemesanan transportasi secara langsung. Anda dapat menggunakan kereta cepat Haramain, bus, atau layanan taksi untuk perjalanan tersebut.",tts_2304_audio03.wav,10.162,3.15,,"id, en, ar"
2304_audio04.wav,Explain step by step cara apply visa Saudi dengan benar.,['id'],True,audio04,2304,2026-05-31T00:09:26.303152,"Kunjungi situs resmi visa Arab Saudi atau hubungi agen perjalanan untuk memulai pendaftaran. Lengkapi formulir serta unggah dokumen pendukung seperti paspor dan foto terbaru. Setelah itu, lakukan pembayaran biaya visa dan tunggu proses persetujuan selesai.","Kunjungi situs resmi visa Arab Saudi atau hubungi agen perjalanan untuk memulai pendaftaran. Lengkapi formulir serta unggah dokumen pendukung seperti paspor dan foto terbaru. Setelah itu, lakukan pembayaran biaya visa dan tunggu proses persetujuan selesai.",tts_2304_audio04.wav,43.694,4.569,,"id, en"
